Queue,Producer/Consumer Count,Average Latency (ns),
Linked List Queue,1,8714.88,
Linked List Queue,2,3276.92,
Linked List Queue,4,16247.8,
Linked List Queue,6,1001.11,
Linked List Queue,8,727.72,
Circular Buffer Queue (4 cells),1,317.166,
Circular Buffer Queue (4 cells),2,231.522,
Circular Buffer Queue (4 cells),4,189.331,
Circular Buffer Queue (4 cells),6,168.478,
Circular Buffer Queue (4 cells),8,237.063,
Circular Buffer Queue (16 cells),1,356.415,
Circular Buffer Queue (16 cells),2,229.698,
Circular Buffer Queue (16 cells),4,190.472,
Circular Buffer Queue (16 cells),6,207.865,
Circular Buffer Queue (16 cells),8,223.309,
moodycamel::ConcurrentQueue,1,8912.13,
moodycamel::ConcurrentQueue,2,749.695,
moodycamel::ConcurrentQueue,4,683.738,
moodycamel::ConcurrentQueue,6,405.893,
moodycamel::ConcurrentQueue,8,844.363,
std::queue (Blocking),1,5249.98,
std::queue (Blocking),2,5324.36,
std::queue (Blocking),4,4713.21,
std::queue (Blocking),6,5734.5,
std::queue (Blocking),8,24720.3,
