Queue,Producer/Consumer Count,Average Latency (ns),
Linked List Queue,1,763.787,
Linked List Queue,2,499.842,
Linked List Queue,4,380.869,
Linked List Queue,6,388.74,
Linked List Queue,8,519.985,
Circular Buffer Queue (4 cells),1,120.41,
Circular Buffer Queue (4 cells),2,128.327,
Circular Buffer Queue (4 cells),4,143.524,
Circular Buffer Queue (4 cells),6,165.22,
Circular Buffer Queue (4 cells),8,196.894,
Circular Buffer Queue (16 cells),1,117.707,
Circular Buffer Queue (16 cells),2,128.586,
Circular Buffer Queue (16 cells),4,144.569,
Circular Buffer Queue (16 cells),6,159.598,
Circular Buffer Queue (16 cells),8,209.372,
moodycamel::ConcurrentQueue,1,4732.67,
moodycamel::ConcurrentQueue,2,2544.53,
moodycamel::ConcurrentQueue,4,1538.94,
moodycamel::ConcurrentQueue,6,726.682,
moodycamel::ConcurrentQueue,8,531.049,
std::queue (Blocking),1,442.079,
std::queue (Blocking),2,630.988,
std::queue (Blocking),4,1125.47,
std::queue (Blocking),6,1910.52,
std::queue (Blocking),8,2598.86,
